ds,Rio,y
04/05/2024 14:00:00,lagoa dos patos,1.54
04/05/2024 14:00:00,sao goncalo,1.94
04/05/2024 20:00:00,lagoa dos patos,1.52
04/05/2024 20:00:00,sao goncalo,1.88
05/05/2024 15:00:00,lagoa dos patos,1.7
05/05/2024 15:00:00,sao goncalo,2.02
05/05/2024 20:00:00,lagoa dos patos,1.77
05/05/2024 20:00:00,sao goncalo,2.03
06/05/2024 09:00:00,lagoa dos patos,1.82
06/05/2024 09:00:00,sao goncalo,2.08
06/05/2024 14:00:00,lagoa dos patos,2
06/05/2024 14:00:00,sao goncalo,2.2
06/05/2024 20:00:00,lagoa dos patos,2
06/05/2024 20:00:00,sao goncalo,2.2
07/05/2024 09:00:00,lagoa dos patos,2.1
07/05/2024 09:00:00,sao goncalo,2.34
07/05/2024 17:00:00,lagoa dos patos,2.1
07/05/2024 17:00:00,sao goncalo,2.35
07/05/2024 20:00:00,lagoa dos patos,2.2
07/05/2024 20:00:00,sao goncalo,2.4
08/05/2024 09:00:00,lagoa dos patos,2.1
08/05/2024 09:00:00,sao goncalo,2.39
08/05/2024 12:00:00,lagoa dos patos,2.2
08/05/2024 12:00:00,sao goncalo,2.46
08/05/2024 14:00:00,lagoa dos patos,2.2
08/05/2024 14:00:00,sao goncalo,2.44
08/05/2024 16:00:00,lagoa dos patos,2.2
08/05/2024 16:00:00,sao goncalo,2.48
08/05/2024 21:00:00,lagoa dos patos,2.25
08/05/2024 21:00:00,sao goncalo,2.5
09/05/2024 07:00:00,lagoa dos patos,1.7
09/05/2024 07:00:00,sao goncalo,2.28
09/05/2024 09:00:00,lagoa dos patos,1.85
09/05/2024 09:00:00,sao goncalo,2.28
09/05/2024 12:00:00,lagoa dos patos,2
09/05/2024 12:00:00,sao goncalo,2.32
09/05/2024 14:00:00,lagoa dos patos,2.14
09/05/2024 14:00:00,sao goncalo,2.39
09/05/2024 17:00:00,lagoa dos patos,2.24
09/05/2024 19:00:00,lagoa dos patos,2.24
09/05/2024 19:00:00,sao goncalo,2.56
09/05/2024 20:00:00,sao goncalo,2.58
09/05/2024 22:00:00,lagoa dos patos,2.2
09/05/2024 22:00:00,sao goncalo,2.63
09/05/2024 23:00:00,lagoa dos patos,2.24
09/05/2024 23:00:00,sao goncalo,2.63
10/05/2024 00:00:00,lagoa dos patos,2.2
10/05/2024 03:00:00,lagoa dos patos,2.18
10/05/2024 00:00:00,lagoa dos patos,2.2
10/05/2024 00:00:00,sao goncalo,2.63
10/05/2024 03:00:00,sao goncalo,2.64
10/05/2024 07:00:00,sao goncalo,2.7
10/05/2024 09:00:00,sao goncalo,2.7
10/05/2024 10:00:00,sao goncalo,2.74
10/05/2024 11:00:00,sao goncalo,2.74
10/05/2024 12:00:00,sao goncalo,2.72
10/05/2024 13:00:00,sao goncalo,2.74
10/05/2024 14:00:00,sao goncalo,2.74
10/05/2024 14:00:00,sao goncalo,2.76
